,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
174,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,http://odysseus.culture.gr/h/3/eh351.jsp?obj_id=2384,"bring water, bucket list, ticket office, worth the climb, avoid the crowds, amazing site, wear comfortable shoes, awe inspiring, take your time, visit athens, bottle of water, ancient history, hill, sites, ruins, temple, scaffolding, marble, greece, hat, restoration, tourists, sunscreen, euros, dionysus, thousands, civilization, marvel, democracy, athena","Via Dionysiou Areopagitou Str., Athens 105 58 Greece","This ancient citadel, built in the fifth century B.C., towers over the city and is home to some of the most impressive ancient ruins, buildings, and artifacts. The most famous temple, the Parthenon, was dedicated to the goddess Athena and is considered the peak of Greek art.

You can avoid long lines by joining a walking tour of the site. Make sure to wear comfortable shoes and bring sunscreen, as the walk up the hill can be steep and exposed to the sun. For the best experience, visit early in the morning or late in the afternoon to avoid the heat and for fewer crowds. 

– Tripadvisor",Acropolis,36992,"Athens Acropolis & Parthenon Walking Tour, Acropolis of Athens and Acropolis Museum Tour, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Athens Half-Day Sightseeing Tour, Acropolis and Parthenon Guided Walking Tour",#3 of 576 things to do in Athens,576,4.5,4.859910488,Ancient Ruins,https://media-cdn.tripadvisor.com/media/photo-o/11/7d/24/6a/acropolis-hill.jpg
175,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,http://www.namuseum.gr,"antikythera mechanism, greek history, amazing collection, on display, couple of hours, audio guide, statues, bronze, pottery, jockey, akrotiri, greece, minoan, art, galleries, bc, civilizations, poseidon, zeus, thousands, roman, highlights, euros, greeks, marble, sites, acropolis, nan, nan, nan","Patision 44, Athens 106 82 Greece",,National Archaeological Museum,8033,"National Archaeological Museum Private Tour with Licensed Expert Guide, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Private Walking Tour: National Archaeological Museum, Athens National Archaeological Museum Private Tour, Athens Private Full Day Tour",#18 of 576 things to do in Athens,576,4.5,4.035738945,History Museums,https://media-cdn.tripadvisor.com/media/photo-o/06/45/a6/ae/museo-arqueologico-nacional.jpg
178,https://www.tripadvisor.com/Attraction_Review-g189400-d3223474-Reviews-National_Library_of_Greece-Athens_Attica.html,http://www.nlg.gr,"danish architect, beautiful building, neoclassical style, theophil hansen, omonia square, architecture, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","32 Panepistimiou Street, Athens 106 79 Greece",,National Library of Greece,138,"Hop on Hop Off Classic tour of Athens, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Athens Highlights Half Day Private Tour, Athens Half-Day Sightseeing Tour, Athens Full Day Private Tour",#42 of 576 things to do in Athens,576,4.5,3.661155462,Libraries,https://media-cdn.tripadvisor.com/media/photo-o/11/d1/44/ae/national-library-of-greece.jpg
180,https://www.tripadvisor.com/Attraction_Review-g189400-d15137010-Reviews-Museum_of_Illusions_Athens-Athens_Attica.html,http://www.museumofillusions.gr/,"great fun, school trip, fun pictures, a lot of fun, puzzles, brain, tickets, activity, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ermou 119 Entrance from Astiggos 12, Athens 10555 Greece","The Museum of Illusions in Athens brings you a space suitable both for social and entertaining tours into the world of illusions which has delighted all generations. It’s a perfect place for new experiences and fun with friends and family. Not only is it a place for children who adore coming, but also a place for parents, couples, grandmothers and grandfathers.",Museum of Illusions Athens,741,"Athens Museum of Illusions Ticket, Athens Museum Unlimited Pass, Primeval Tour of Ancient Athens, nan, nan",#27 of 576 things to do in Athens,576,4,3.877538681,Specialty Museums,https://media-cdn.tripadvisor.com/media/photo-o/14/d4/20/65/museum-of-illusions-athens.jpg
184,https://www.tripadvisor.com/Attraction_Review-g189400-d8635548-Reviews-So_What_Leather_Sandals-Athens_Attica.html,http://www.greek-leather-sandals.com,"leather store, shop, shipping, greece, selling, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","10 Kapnikareas Plaka, Athens 105 56 Greece","""So What!"" retail store was established in 2007 following ""KOUROS"" family's long time tradition since 1974 in the manufacture of Leather Sandals, Bags, Wallets & Handmade Leather Accessories. Our store is located in Plaka at Kapnikareas 10 street. Within a 150 m2 space, we offer the widest variety of Handmade Leather Sandals in the center of Athens with all styles of our own Greek ""KOUROS"" and ""IRIS"" brand names, along with other Handmade products from selected Greek manufacturers. Although we do specialize in our Handmade Leather Sandals we do offer other items such as Shoes, Flip Flops and Footwear in general for men, women & children, as well as a wide selection of Leather Bags & Backpacks, Belts, Hats, Wallets and other micro accessories, all 100% Handmade with Genuine Leather.",So What Leather Sandals,93,"nan, nan, nan, nan, nan",#11 of 450 Shopping in Athens,450,4.5,3.660022736,Flea & Street Markets,https://media-cdn.tripadvisor.com/media/photo-o/09/0b/b8/79/so-what-leather-sandals.jpg
186,https://www.tripadvisor.com/Attraction_Review-g189400-d2099485-Reviews-Athens_Fish_Spa_Massage_Hammam-Athens_Attica.html,http://www.athensfishspa.com,"foot massage, oil massage, mani pedi, full body massage, minute massage, excellent massage, therapist, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Karori 23 1st Floor, Athens 105 51 Greece","One of the best Spa in Athens offers quality treatments in affordable prices. Discounts when you book online through our site. Fish pedicure, massage, scrub, mani, pedi, hammam, waxing. For opening hours please consult our site or mail us.",Athens Fish Spa Massage & Hammam,769,"Athens Couples Escape Spa Treatment with Fish Pedicure, 1-Hour Aroma Oil Massage plus 20-Minute Free Fish Pedi, Athens 70 Minute Express Day Spa Treatment, Athens Delight Massage with Steam Sauna, 20-Minutes Natural Pedicure with Exotic Fish",#6 of 120 Spas & Wellness in Athens,120,5,4.314748764,Spas,https://media-cdn.tripadvisor.com/media/photo-o/07/08/46/d0/athens-fish-spa-massage.jpg
211,https://www.tripadvisor.com/Attraction_Review-g189400-d12118522-Reviews-The_Greek_Kitchen-Athens_Attica.html,http://www.greekkitchenathens.com,"cooking class, tzatziki, cooking experience, market trip, highly recommend this activity, great class, traditional greek food, central market, fun experience, lots of fun, visiting athens, instructor, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Athinas 36, Athens 105 51 Greece",The Greek Kitchen is a fun place! You can join us online to learn some fabulous Greek dishes from wherever you are in the world with one of our friendly local cooks. If you're in Athens let us organise a cooking class for you so that you can get stuck in at the source!,The Greek Kitchen,654,"Athens 4-Hour Cooking Class with Central Market Visit, nan, nan, nan, nan",#1 of 141 Classes & Workshops in Athens,141,5,4.452667236,Cooking Classes,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/32/02/1d/delicious-food.jpg
221,https://www.tripadvisor.com/Attraction_Review-g189400-d523153-Reviews-Brettos_Bar-Athens_Attica.html,http://www.brettosplaka.com,"beautiful bar, wine tasting, visiting athens, ouzo, distillery, distilled, greece, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kydathinaion 41 Plaka, Athens Greece","The unsuspected visitor of the historic center of Athens cannot miss the hundreds of colorful bottles and lights that decorate the walls of ""Brettos"". “BRETTOS” is the oldest distillery in Athens. It started operating for the first time back in 1909 at the ground level of an Athenian old mansion in the heart of Plaka. At those premises, his founder Mr Michael Brettos, started producing ouzo, brandy and few liqueur flavors, from the old time classics like cherry and pepermint to the most distinct ones like citrus and masticha, using old family recipes from Smyrni (Izmir, Turkey). When demand started rising more that expected he had to relocate the distillery to Kallithea and operate the small shop on Kydathineon street only as a liquor shop and at the same time as a bar where tourists as well as local could taste and buy any liqueur they wished for. After all these decades “Brettos” distillery and bar is still the best place to have a few drinks after work, after a good meal, or just before you go to sleep. Without any lifestyle codes, with soft music coming from a small radio forgotten on one of the wooden shelves, “Brettos” is the perfect place is you wish to get away form everyday life and have a chat with your friends. The only thing that could surprise you are the flashes coming from the cameras of all shorts of tourist that visit the store daily. The only thing you should be certain of is the fact that you can easily fall in love with “Brettos” for its special atmosphere, both low-key and attractive, the authenticity and the friendliness of its owners.",Brettos Bar,1359,"nan, nan, nan, nan, nan",#6 of 266 Nightlife in Athens,266,4.5,4.076267719,Bars & Clubs,https://media-cdn.tripadvisor.com/media/photo-o/0f/28/2e/1d/photo3jpg.jpg
222,https://www.tripadvisor.com/Attraction_Review-g189400-d10206408-Reviews-Philopappos_Monument-Athens_Attica.html,,"philopappou hill, paths, acropolis, escape, hike, sites, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Filopappos Hill, Athens 104 38 Greece",,Philopappos Monument,106,"Explore Athens in 1 hour with a Local, Explore Athens' Art and Culture with a Local, Exclusive Private Guided Tour through the Architecture of Athens with a Local, Philosophy and Democracy tour of Athens, Mythology Treasure Hunt in the Hills of Athens Center",#53 of 576 things to do in Athens,576,4,3.50165391,Monuments & Statues,https://media-cdn.tripadvisor.com/media/photo-o/0e/f6/7f/84/philopappos.jpg
227,https://www.tripadvisor.com/Attraction_Review-g189400-d5999435-Reviews-Syntagma_Station-Athens_Attica.html,,"athens metro, busy station, transfer point, parliament building, big station, hellenic parliament, unknown soldier, visiting athens, airport, artifacts, tickets, signage, tomb, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leoforos Vassilissis Amalias Syntagma Square, Athens 105 63 Greece",,Syntagma Station,630,"City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Athens at Night Small-Group Walking Tour with Dinner, Acropolis Walking Tour, Including Syntagma Square & City Center, Amazing Athens Self-Guided Audio Tour, Private Half-Day Sightseeing in Athens(incl. Food Tasting)",#41 of 576 things to do in Athens,576,4,3.678591728,Architectural Buildings,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/e0/26/01/20180928-171728-largejpg.jpg
228,https://www.tripadvisor.com/Attraction_Review-g189400-d1420241-Reviews-Zappeion_Conference_Exhibition_Center-Athens_Attica.html,http://www.zappeion.gr/en/index.asp,"beautiful building, modern olympics, olympic stadium, fountain, fencing, facade, neoclassical, architecture, picnic, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leof. Vasilissis Olgas, Athens Greece",,Zappeion Conference & Exhibition Center,275,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Olympic Games Small-Group Workout and Race in Athens, Highlights & Hidden Gems With Locals: Best of Athens Private Tour, Athens Electric Bike Tour, Acropolis & Parthenon Guided E-Bike Tour",#45 of 576 things to do in Athens,576,4,3.615971327,Conference & Convention Centers,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/6a/b7/11/front-of-zappeion.jpg
229,https://www.tripadvisor.com/Attraction_Review-g189400-d524618-Reviews-Little_Metropolis-Athens_Attica.html,,"byzantine architecture, light a candle, cathedral, century, dating, hundreds, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pl. Mitropoleos 8, Athens 105 56 Greece",This tiny church is located under the shadow of the Athens Cathedral and dates from the 12th century.,Little Metropolis,208,"Exclusive Private Guided Tour through the History of Athens with a Local, Top Sites of Athens By eBike Fast Pace, nan, nan, nan",#49 of 576 things to do in Athens,576,4,3.536494732,Sacred & Religious Sites,https://media-cdn.tripadvisor.com/media/photo-s/00/14/d6/08/theotokos-gorgoepikoos.jpg
230,https://www.tripadvisor.com/Attraction_Review-g189400-d6582562-Reviews-Canvas_Greece-Athens_Attica.html,http://www.canvasgreece.com,"oil paintings, art students, beautiful shop, amazing pieces, artwork, prints, souvenir, scenes, greece, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","90 Adrianou Plaka, Athens 105 56 Greece","Canvas is located under the sacred rock of the Acropolis in Plaka neighborhood since 2005. Our vision is to spread the beauties of Greece around the world through art. In our store you will find a wide range of original paintings by local artists as well as copies of them on canvas, wood and other materials. Our love for art is a source of inspiration for the creation of unique and quality products that aim to bring beauty in your space and warmth in your heart like the eternal Greek summer. You are all invited to join us in that journey in art",Canvas Greece,122,"nan, nan, nan, nan, nan",#4 of 450 Shopping in Athens,450,5,4.119186401,Gift & Specialty Shops,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/3b/14/b6/canvas-is-located-under.jpg
241,https://www.tripadvisor.com/Attraction_Review-g189400-d20377682-Reviews-Hammam_Shahrazad-Athens_Attica.html,http://www.hammamshahrazad.gr,"dead sea mud, skin feeling, massage therapist, full body, relaxing massage, incredible experience, cold water, visit athens, ritual, exfoliation, skilled, skills, alex, greece, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Porinou 12 2 minutes walking from Museum Acropolis, Athens 117 42 Greece","SPA Hammam Shahrazad an oasis of relaxation and rest In the heart of Athens under Acropolis This is a unique place that connects over the years experience and deep-rooted tradition. Find harmony and serenity for the soul and body. Our offer includes special Hammam (bath) , facial and body massages which will make you feel Beautiful inside outAn extraordinary opportunity to look inside yourself and discover the new inner grace the peace and power that lie deep within each of us … Hammam Shahrazad has been with you in Morocco and Poland for almost twelve years. Our dream is to share our passion, experience and skills with you in the heart of Greece with the Acropolis breeze",Hammam Shahrazad,279,"nan, nan, nan, nan, nan",#1 of 120 Spas & Wellness in Athens,120,5,4.413718224,Arab Baths,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/3c/7e/28/hammam.jpg
243,https://www.tripadvisor.com/Attraction_Review-g189400-d8609163-Reviews-Welcome_Pickups-Athens_Attica.html,http://www.welcomepickups.com/athens/?utm_source=tripadvisor&utm_medium=listings,"athens airport, pick ups, regular taxi, highly recommend this service, return journey, driver waiting, flight was delayed, friendly driver, transfer service, bottle of water, reliable service, cold water, always on time, great driver, taxi driver, company, luggage, arrivals, sms, cars, greece, vehicle, ferry, piraeus, euros, nikos, george, greek, acropolis, nan",Athens 10554 Greece,"Welcome helps you make the most of your travels by providing transfer services from the airport or port, tips and tailor-made private experiences led by locals. Let a Local English speaking driver introduce you to Athens!",Welcome Pickups,5671,"Private Day Trip from Athens to Meteora , Private Day Trip from Athens to Delphi, Private Half-Day Sightseeing in Athens(incl. Food Tasting), Private Layover Athens Sightseeing Tour from the Airport or Port, Private Day Trip to Corinth Canal - Learn about Greek Pottery and Wine",#54 of 639 Transportation in Athens,639,4.5,3.977915764,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/2e/a1/78/the-best-way-to-arrive.jpg
244,https://www.tripadvisor.com/Attraction_Review-g189400-d11978109-Reviews-Limba_RAGE_ROOM-Athens_Attica.html,http://www.facebook.com/limbaaaaa,"fun, objects, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pittaki 6, Athens 10554 Greece","The first rage room in Greece! Not another boring activity, but a great place to smash up things and routine! Gain a new experience and have fun! So, did you have your break-fast today? You can now make your reservation by sending a message on our facebook page!",Limba RAGE ROOM,62,"nan, nan, nan, nan, nan",#12 of 154 Fun & Games in Athens,154,5,3.529029608,Game & Entertainment Centers,https://media-cdn.tripadvisor.com/media/photo-o/0e/25/1f/0a/pittaki-6.jpg
250,https://www.tripadvisor.com/Attraction_Review-g189400-d2691969-Reviews-Olive_Tree-Athens_Attica.html,http://www.facebook.com/olivetreeathens,"olive wood products, nice store, beautiful items, cutting board, on display, gifts, petros, shop, olives, shipping, luggage, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","67 Adrianou Plaka, Athens 105 56 Greece","Olivetree store,the First OliveWood shop in Athens, is a place where you can admire the Art of the GREEK HANDMADE OLIVEWOOD CARVINGS! Using pieces of olivewood that we collect from all over Greece aged over 500 years old and more,my family and our partners create unique pieces of ART which represent THE GREEK culture.",Olive Tree,224,"nan, nan, nan, nan, nan",#3 of 450 Shopping in Athens,450,5,4.324733734,Gift & Specialty Shops,https://media-cdn.tripadvisor.com/media/photo-o/06/3f/a9/2a/olive-tree-store-athens.jpg
253,https://www.tripadvisor.com/Attraction_Review-g189400-d6428584-Reviews-7_Times_Athens-Athens_Attica.html,http://www.facebook.com/seventimeslive/,"shisha bar, nargile, christina, greek, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Miaouli 13, Athens 105 54 Greece","We offer to you a place to enjoy your coffee and a great hookah /shisha (the best quality, Al Fakher, Al Waha, Lyrra, Ona) at amazing prices: 8 euro. Starting price of the coffee is 3 € and 8€ for flavors of nargile)! As well, our DJ is playing every night a whole variety of styles. You can request your favorite songs, as well! We are here for you to offer an unforgettable experience of cocktails, dance and having fun!!!",7 Times Athens,281,"nan, nan, nan, nan, nan",#7 of 266 Nightlife in Athens,266,4.5,4.063499928,Bars & Clubs,https://media-cdn.tripadvisor.com/media/photo-o/0c/4b/44/45/great-night-fantastic.jpg
254,https://www.tripadvisor.com/Attraction_Review-g189400-d12105948-Reviews-Dimitris_Taxi-Athens_Attica.html,http://www.dimitristaxi.com,"fantastic recommendations, tour guide, cruise ship, excellent driver, athens trip, his knowledge, take pictures, athens airport, poseidon, george, greece, temple, sights, punctual, transfer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,Ensure a secure transfer from any part of Greece to your destination with safety and accuracy. Transfers from and to the airport. Transfers from and to ports of Greece. For further information visit my website. Exceptional sightseeing of the inner or outer parts of the city.,Dimitris Taxi,190,"nan, nan, nan, nan, nan",#30 of 639 Transportation in Athens,639,5,4.391254902,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/bc/cc/a1/20180706-203228-largejpg.jpg
255,https://www.tripadvisor.com/Attraction_Review-g189400-d523874-Reviews-Melissinos_Art_The_Poet_Sandal_Maker-Athens_Attica.html,http://melissinos-art.com,"great sandals, whole process, strap, shop, shoes, euros, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","16 Tzireon St Acropolis Museum Metro Station, Athens 117 42 Greece","Celebrity Poet Sandal Maker to the Stars, Pantelis Melissinos (3rd generation since 1920) handcrafts unique, classy & bespoke leather sandals (based on ancient Greek models and his own designs) for celebs, royals and lovers of beauty. He has made sandals for King Felipe of Spain (at the request of his mother Queen Sophia), Salvador Dali’s alter ego, famous singer Amanda Lear, Joe Biden’s family, poet-musician: Leonard Cohen and his band and crew, Hollywood celebrities: Bob Saget, Lily Tomlin and Sarah Jessica Parker, popular British comedienne: Dawn French, comedian: Richard Ayoade, Japan’s superstar: Satomi Ishihara, Mick Jagger and his girlfriend, fashion designer L’Wren Scott and their entourage, CNN’s Richard Quest, fashion designer and TV personality: Kimora Lee Simmons, celebrity athlete and singer, prince Hubertus Von Hohenlohe, famous movie director Brian De Palma and the list goes on. MELISSINOS ART – THE POET SANDAL MAKER 16 Tzireon St, Athens 117 42, Greece",Melissinos Art -The Poet Sandal Maker,271,"nan, nan, nan, nan, nan",#9 of 450 Shopping in Athens,450,4.5,3.742976665,Gift & Specialty Shops,https://media-cdn.tripadvisor.com/media/photo-o/13/0e/ef/df/pantelis-melissinos-the.jpg
258,https://www.tripadvisor.com/Attraction_Review-g189400-d11747138-Reviews-Atenas_Taxi_Rutas-Athens_Attica.html,http://www.atenastaxirutas.com,"transfer service, reliable transportation, drove safely, visit athens again, great driver, cape sounion, safe driver, always on time, ride, airport, company, greek, greece, cruise, luggage, route, tours, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 17341 Greece,We offer transportation services to the airport and various archaeological sites. We adjust to the needs of each user. we strive to provide comfort and economy in each transfer. let us accompany you on his tour of the land of the gods.,Atenas Taxi Rutas,146,"nan, nan, nan, nan, nan",#15 of 639 Transportation in Athens,639,5,4.4160676,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/a3/5f/ab/atardecer-en-la-riviera.jpg
259,https://www.tripadvisor.com/Attraction_Review-g189400-d15550151-Reviews-Etherfloat-Athens_Attica.html,http://www.etherfloat.gr,"float tank, interesting experience, meditate, session, womb, meditation, georgia, therapist, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Tsakalof 44 Kolonaki, Athens 10673 Greece","Etherfloat is the first floatation center in Athens, Greece. Here you can enjoy the benefits of epsom salt inside a float pod where you can completely zone out and put the rest of the world aside for a while. Floating can help you relax and relieve stress, but also recover from fatigue or injury. Additionally, the float pod provides an ideal environment for meditation and careful examination of ideas. Floating is becoming the next century's best tool for self-discovery. In the quiet, dark environment of the pod, your brain can take a break from all the noise, allowing you to focus on what's really important in your life. After just a single 1 hour floating session, we promise that you will feel more relaxed than ever before, yet energised and mentally recharged. After every float the world feels like a better place to live in. Treat yourself and book an appointment now!",Etherfloat,114,"nan, nan, nan, nan, nan",#2 of 120 Spas & Wellness in Athens,120,5,4.404846191,Spas,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/91/b6/a8/pod-room-b.jpg
260,https://www.tripadvisor.com/Attraction_Review-g189400-d5257070-Reviews-Athens_Free_Tour-Athens_Attica.html,https://www.athens-free-tour.com/,"great guide, useful tips, fun facts, free walking, great tips, three hours, greek culture, eleni, jonathan, persephone, vera, history, information, knowledge, greece, overview, intro, sites, pace, politics, athena, acropolis, nan, nan, nan, nan, nan, nan, nan, nan","Hadrian's Arch, Athens 105 57 Greece","Athens Free Tour - Official 
Award Winning Pioneers of free walking tours in Greece - Please Book Direct: Click on our website link in the Contact box English & Spanish languages are available. We present the most passionate, ""must do"" free orientation walk of Athens a truly original experience that will pique your senses and enflame a curiosity for further discovery through our amazing city of Gods & Heroes. We will share with you glorious hidden treasures, fun facts & secret urban legends. Our mission and total desire is for you to ""Feel like a local not just a tourist!""",Athens Free Tour,9343,"nan, nan, nan, nan, nan","#7 of 1,148 Tours in Athens",1148,5,4.489446163,City Tours,https://media-cdn.tripadvisor.com/media/photo-o/0d/f5/ed/08/walk-in-history-run-on.jpg
261,https://www.tripadvisor.com/Attraction_Review-g189400-d14951176-Reviews-Ale_Blues-Athens_Attica.html,https://www.facebook.com/Ale.Blues.Bar/,"clean drinks, monastiraki, alex, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Plateia Karitsi 10, Athens 10561 Greece",,Ale Blues,125,"nan, nan, nan, nan, nan",#1 of 266 Nightlife in Athens,266,5,4.405022144,Bars & Clubs,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/df/59/23/getlstd-property-photo.jpg
263,https://www.tripadvisor.com/Attraction_Review-g189400-d21138339-Reviews-Salon_De_Massage-Athens_Attica.html,http://salondemassage.gr/,"amazing massage, relaxing massage, thai massage, deep tissue massage, masseuse, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ermou 36, Athens 105 63 Greece",,Salon De Massage,374,"nan, nan, nan, nan, nan",#7 of 120 Spas & Wellness in Athens,120,5,4.29707098,Spas,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/98/7e/d3/salon-de-massage-syntagma.jpg
264,https://www.tripadvisor.com/Attraction_Review-g189400-d7273608-Reviews-Lockhill-Athens_Attica.html,http://www.lockhill.gr,"lockwood manor, voodoo shop, escape room, escape game, game master, story telling, horror genre, horror room, sanatorium, catacombs, puzzles, actors, chapel, scary, immersive, storyline, professor, terror, scares, hints, acting, challenges, uncover, nan, nan, nan, nan, nan, nan, nan","55-59 Deligiorgi Karaiskaki Square, Athens 104 37 Greece","The theme and the story in Lockhill are extremely important, and the game itself is constructed around it, instead of just being pasted like other escape games. We have given extra care to the general atmosphere, lighting, music, decoration and storytelling as they are of utter importance in order for you to immerse yourself in the experience. We have really tried to make the experience as similar as possible to a very atmospheric adventure game. Story wise, Lockhill resembles a small village where the full story reveals itself slowly over the course of your visits as you explore different locations (rooms) and you find different clues that will ultimately piece together the overall plot.You'll have to escape from some rooms, or find out how to enter others! The whole experience and each individual room are of our own creation.",Lockhill,219,"nan, nan, nan, nan, nan",#2 of 154 Fun & Games in Athens,154,5,4.37387991,Room Escape Games,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/76/db/be/voted-as-best-escape.jpg
265,https://www.tripadvisor.com/Attraction_Review-g189400-d11672266-Reviews-Mastermind-Athens_Attica.html,http://www.themastermind.gr,"escape room, crown room, white rabbit, a lot of fun, great escape, game master, puzzles, actors, challenging, props, hilarious, gallery, performance, movie, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Karori 6A Near Plateia Agias Eirinis, Metro Monastiraki, Athens 10551 Greece","Escape rooms, mystery dinners, mystery parties, kids and adult parties, treasure hunts, various events",Mastermind,213,"nan, nan, nan, nan, nan",#3 of 154 Fun & Games in Athens,154,5,4.348872185,Room Escape Games,https://media-cdn.tripadvisor.com/media/photo-o/0f/e9/44/26/escape-rooms-mystery.jpg
266,https://www.tripadvisor.com/Attraction_Review-g189400-d11851678-Reviews-Polis_Hammam_Polis_Loutron-Athens_Attica.html,http://www.polis-hammam.gr,"minute massage, traditional bath, body massage, turkish delight, therapist, lockers, hercules, massaged, session, clouds, escape, greek, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Avliton 6-8 Psiri, Athens 105 54 Greece","At Polis Hammam we are proud we preserved the authentic ambience of the traditional hammam. Trust your wellness to our well-versed therapists and experience the Authentic Traditional Bathing Ritual along with signature massages, sublime facials and body treatments.",Polis Hammam-Polis Loutron,530,"Private Photo Session with a Local Photographer in Polis, Vacation Photographer in Polis, nan, nan, nan",#8 of 120 Spas & Wellness in Athens,120,4.5,4.142055035,Spas,https://media-cdn.tripadvisor.com/media/photo-o/0e/8a/04/5a/polis-hammam-athens.jpg
268,https://www.tripadvisor.com/Attraction_Review-g189400-d8686485-Reviews-Paradox_Project-Athens_Attica.html,http://www.paradoxproject.gr,"escape room, game master, three hours, music academy, visiting athens, bookstore, mansion, puzzles, hints, play, challenging, tension, props, instructions, enthusiasts, series, greek, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","93 Charokopou Charokopou 93 & Eleftheriou Venizelou, Athens 176 76 Greece",,Paradox Project,298,"nan, nan, nan, nan, nan",#1 of 154 Fun & Games in Athens,154,5,4.389759064,Room Escape Games,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/f1/49/b2/paradoxproject2.jpg
